Isolate,Lineage,Contig,methylation,methylation_percent
Gd267,Outgroup,contig_18,m,"2,5"
Gd267,Outgroup,contig_19,h,"8,5"
Gd267,Outgroup,contig_19,m,"2,7"
Gd267,Outgroup,contig_20,h,"8,3"
Gd267,Outgroup,contig_20,m,"2,6"
Gd267,Outgroup,contig_21,h,"8,4"
Gd267,Outgroup,contig_21,m,"2,5"
Gd267,Outgroup,contig_22,h,"8,3"
Gd267,Outgroup,contig_22,m,"2,5"
Gd267,Outgroup,contig_25,h,"8,3"
Gd267,Outgroup,contig_25,m,"2,6"
Gd267,Outgroup,contig_44,h,"8,3"
Gd267,Outgroup,contig_44,m,"2,5"
Gd267,Outgroup,contig_45,h,"8,4"
Gd267,Outgroup,contig_45,m,"2,5"
Gd267,Outgroup,contig_46,h,"8,3"
Gd267,Outgroup,contig_46,m,"2,5"
Gd267,Outgroup,contig_47,h,"8,3"
Gd267,Outgroup,contig_47,m,"2,6"
Gd267,Outgroup,contig_48,h,"8,6"
Gd267,Outgroup,contig_48,m,"2,7"
Gd267,Outgroup,contig_49,h,"8,2"
Gd267,Outgroup,contig_49,m,"2,5"
Gd293,1,contig_1,h,"7,7"
Gd293,1,contig_1,m,"27,3"
Gd293,1,contig_19,h,"7,3"
Gd293,1,contig_19,m,"18,2"
Gd293,1,contig_2,h,"7,9"
Gd293,1,contig_2,m,"21,6"
Gd293,1,contig_20,h,"7,3"
Gd293,1,contig_20,m,"18,8"
Gd293,1,contig_23,h,"7,7"
Gd293,1,contig_23,m,"22,9"
Gd293,1,contig_26,h,"7,3"
Gd293,1,contig_26,m,"19,5"
Gd293,1,contig_33,h,"7,1"
Gd293,1,contig_33,m,"14,5"
Gd293,1,contig_36,h,"7,5"
Gd293,1,contig_36,m,"21,5"
Gd293,1,contig_40,h,"7,4"
Gd293,1,contig_40,m,"22,3"
Gd293,1,contig_43,h,"7,7"
Gd293,1,contig_43,m,"23,4"
Gd293,1,contig_45,h,"7,8"
Gd293,1,contig_45,m,"25,4"
Gd293,1,contig_47,h,7
Gd293,1,contig_47,m,"13,9"
Gd293,1,contig_48,h,"7,5"
Gd293,1,contig_48,m,"21,7"
Gd293,1,contig_54,h,"6,8"
Gd293,1,contig_54,m,"11,9"
Gd293,1,contig_61,h,"7,4"
Gd293,1,contig_61,m,"17,1"
Gd293,1,contig_63,h,"7,3"
Gd293,1,contig_63,m,"19,6"
Gd293,1,contig_64,h,"7,4"
Gd293,1,contig_64,m,"20,4"
Gd293,1,contig_67,h,"7,4"
Gd293,1,contig_67,m,"20,9"
Gd293,1,contig_68,h,"7,4"
Gd293,1,contig_68,m,"20,3"
Gd293,1,contig_70,h,"6,8"
Gd293,1,contig_70,m,"15,3"
Gd293,1,contig_72,h,11
Gd293,1,contig_72,m,"34,8"
Gd293,1,contig_75,h,"10,3"
Gd293,1,contig_75,m,"36,5"
Gd293,1,contig_76,h,"6,8"
Gd293,1,contig_76,m,"13,4"
Gd293,1,contig_77,h,"6,6"
Gd293,1,contig_77,m,"11,5"
Gd293,1,contig_78,h,"8,2"
Gd293,1,contig_78,m,"43,8"
Gd293,1,contig_85,h,"7,4"
Gd293,1,contig_85,m,"3,1"
Gd293,1,contig_9,h,"7,4"
Gd293,1,contig_9,m,"21,6"
Gd442,1,contig_1066,h,"8,5"
Gd442,1,contig_1066,m,"30,4"
Gd442,1,contig_1080,h,"7,5"
Gd442,1,contig_1080,m,12
Gd442,1,contig_128,h,"7,7"
Gd442,1,contig_128,m,"17,1"
Gd442,1,contig_14,h,"7,8"
Gd442,1,contig_14,m,"18,8"
Gd442,1,contig_142,h,"7,6"
Gd442,1,contig_142,m,"21,6"
Gd442,1,contig_174,h,"7,7"
Gd442,1,contig_174,m,"20,8"
Gd442,1,contig_186,h,"7,9"
Gd442,1,contig_186,m,"18,9"
Gd442,1,contig_215,h,"7,9"
Gd442,1,contig_215,m,"24,5"
Gd442,1,contig_22,h,"7,8"
Gd442,1,contig_22,m,"21,6"
Gd442,1,contig_242,h,"7,7"
Gd442,1,contig_242,m,"16,1"
Gd442,1,contig_255,h,"7,8"
Gd442,1,contig_255,m,"19,3"
Gd442,1,contig_256,h,"8,3"
Gd442,1,contig_256,m,"34,1"
Gd442,1,contig_316,h,"7,6"
Gd442,1,contig_316,m,"18,7"
Gd442,1,contig_367,h,"7,5"
Gd442,1,contig_367,m,"13,7"
Gd442,1,contig_39,h,8
Gd442,1,contig_39,m,29
Gd442,1,contig_416,h,"7,7"
Gd442,1,contig_416,m,"19,5"
Gd442,1,contig_421,h,"7,6"
Gd442,1,contig_421,m,"16,4"
Gd442,1,contig_424,h,"7,9"
Gd442,1,contig_424,m,"20,5"
Gd442,1,contig_501,h,"7,6"
Gd442,1,contig_501,m,20
Gd442,1,contig_530,h,"8,1"
Gd442,1,contig_530,m,"39,7"
Gd442,1,contig_534,h,"6,9"
Gd442,1,contig_534,m,"3,9"
Gd442,1,contig_548,h,7
Gd442,1,contig_548,m,"13,7"
Gd442,1,contig_607,h,"7,8"
Gd442,1,contig_607,m,20
Gd442,1,contig_613,h,"7,8"
Gd442,1,contig_613,m,"19,8"
Gd442,1,contig_648,h,"8,2"
Gd442,1,contig_648,m,"29,4"
Gd442,1,contig_655,h,"7,9"
Gd442,1,contig_655,m,"19,3"
Gd442,1,contig_700,h,"8,1"
Gd442,1,contig_700,m,"26,3"
Gd442,1,contig_714,h,"7,8"
Gd442,1,contig_714,m,"18,6"
Gd442,1,contig_730,h,"8,5"
Gd442,1,contig_730,m,"30,5"
Gd442,1,contig_770,h,"8,1"
Gd442,1,contig_770,m,"34,7"
Gd442,1,contig_81,h,"7,7"
Gd442,1,contig_81,m,"17,8"
Gd442,1,contig_813,h,"7,8"
Gd442,1,contig_813,m,"19,6"
Gd442,1,contig_815,h,"7,4"
Gd442,1,contig_815,m,"17,9"
Gd442,1,contig_891,h,"8,1"
Gd442,1,contig_891,m,"20,6"
Gd442,1,contig_899,h,"8,9"
Gd442,1,contig_899,m,"31,1"
Gd45,2,contig_102,h,"9,3"
Gd45,2,contig_102,m,"22,9"
Gd45,2,contig_109,h,"9,1"
Gd45,2,contig_109,m,"22,6"
Gd45,2,contig_131,h,9
Gd45,2,contig_131,m,"20,9"
Gd45,2,contig_148,h,"9,1"
Gd45,2,contig_148,m,"20,6"
Gd45,2,contig_160,h,"8,8"
Gd45,2,contig_160,m,"14,7"
Gd45,2,contig_179,h,"9,3"
Gd45,2,contig_179,m,"21,6"
Gd45,2,contig_193,h,"8,8"
Gd45,2,contig_193,m,19
Gd45,2,contig_196,h,"9,2"
Gd45,2,contig_196,m,17
Gd45,2,contig_199,h,9
Gd45,2,contig_199,m,19
Gd45,2,contig_201,h,"9,2"
Gd45,2,contig_201,m,19
Gd45,2,contig_204,h,"9,4"
Gd45,2,contig_204,m,"27,9"
Gd45,2,contig_211,h,"8,6"
Gd45,2,contig_211,m,"13,8"
Gd45,2,contig_219,h,"9,2"
Gd45,2,contig_219,m,"19,5"
Gd45,2,contig_238,h,"9,5"
Gd45,2,contig_238,m,"26,3"
Gd45,2,contig_244,h,"8,8"
Gd45,2,contig_244,m,"15,8"
Gd45,2,contig_258,h,"9,2"
Gd45,2,contig_258,m,"20,6"
Gd45,2,contig_268,h,"11,5"
Gd45,2,contig_268,m,"31,5"
Gd45,2,contig_270,h,"10,5"
Gd45,2,contig_270,m,"42,5"
Gd45,2,contig_315,h,"10,5"
Gd45,2,contig_315,m,"24,2"
Gd45,2,contig_353,h,"8,7"
Gd45,2,contig_353,m,"11,7"
Gd45,2,contig_45,h,"8,8"
Gd45,2,contig_45,m,"18,3"
Gd45,2,contig_71,h,"9,1"
Gd45,2,contig_71,m,"16,4"
Gd45,2,contig_8,h,"9,9"
Gd45,2,contig_8,m,31
Gd45,2,contig_82,h,9
Gd45,2,contig_82,m,"17,8"
Gd45,2,contig_83,h,"10,7"
Gd45,2,contig_83,m,"22,4"
Gd4985,1,contig_101,h,"6,1"
Gd4985,1,contig_101,m,"23,5"
Gd4985,1,contig_103,h,"5,6"
Gd4985,1,contig_103,m,12
Gd4985,1,contig_105,h,6
Gd4985,1,contig_105,m,"29,7"
Gd4985,1,contig_119,h,"6,3"
Gd4985,1,contig_119,m,"34,6"
Gd4985,1,contig_21,h,"6,2"
Gd4985,1,contig_21,m,"24,9"
Gd4985,1,contig_22,h,"5,7"
Gd4985,1,contig_22,m,"15,7"
Gd4985,1,contig_26,h,"5,8"
Gd4985,1,contig_26,m,"19,8"
Gd4985,1,contig_31,h,6
Gd4985,1,contig_31,m,"24,8"
Gd4985,1,contig_38,h,6
Gd4985,1,contig_38,m,"21,7"
Gd4985,1,contig_44,h,"5,9"
Gd4985,1,contig_44,m,"20,5"
Gd4985,1,contig_51,h,"6,4"
Gd4985,1,contig_51,m,"30,1"
Gd4985,1,contig_54,h,"5,9"
Gd4985,1,contig_54,m,"18,6"
Gd4985,1,contig_56,h,"5,9"
Gd4985,1,contig_56,m,"23,5"
Gd4985,1,contig_64,h,"5,9"
Gd4985,1,contig_64,m,"19,3"
Gd4985,1,contig_69,h,"5,9"
Gd4985,1,contig_69,m,"18,1"
Gd4985,1,contig_75,h,6
Gd4985,1,contig_75,m,"18,6"
Gd4985,1,contig_80,h,"5,9"
Gd4985,1,contig_80,m,18
Gd4985,1,contig_82,h,"5,8"
Gd4985,1,contig_82,m,"20,1"
Gd4985,1,contig_85,h,"6,1"
Gd4985,1,contig_85,m,29
Gd4985,1,contig_90,h,"5,9"
Gd4985,1,contig_90,m,"20,4"
Gd4985,1,contig_93,h,"6,7"
Gd4985,1,contig_93,m,"45,8"
Gd4985,1,contig_94,h,"5,7"
Gd4985,1,contig_94,m,"13,3"
Gd4985,1,contig_95,h,"5,9"
Gd4985,1,contig_95,m,"20,7"
Gd4985,1,contig_99,h,"5,9"
Gd4985,1,contig_99,m,"19,3"
Gd4986,2,contig_102,h,"8,2"
Gd4986,2,contig_102,m,"22,2"
Gd4986,2,contig_1024,h,"8,3"
Gd4986,2,contig_1024,m,"25,5"
Gd4986,2,contig_1038,h,8
Gd4986,2,contig_1038,m,"20,4"
Gd4986,2,contig_1054,h,"8,1"
Gd4986,2,contig_1054,m,"26,7"
Gd4986,2,contig_1059,h,"8,8"
Gd4986,2,contig_1059,m,"37,9"
Gd4986,2,contig_1071,h,"8,3"
Gd4986,2,contig_1071,m,"17,6"
Gd4986,2,contig_1080,h,"8,1"
Gd4986,2,contig_1080,m,"15,2"
Gd4986,2,contig_1087,h,"7,3"
Gd4986,2,contig_1087,m,"16,8"
Gd4986,2,contig_1113,h,8
Gd4986,2,contig_1113,m,"27,6"
Gd4986,2,contig_1120,h,"8,3"
Gd4986,2,contig_1120,m,"15,8"
Gd4986,2,contig_1130,h,"7,9"
Gd4986,2,contig_1130,m,"10,9"
Gd4986,2,contig_1134,h,"8,1"
Gd4986,2,contig_1134,m,"15,7"
Gd4986,2,contig_1153,h,"7,9"
Gd4986,2,contig_1153,m,"16,8"
Gd4986,2,contig_1167,h,"7,6"
Gd4986,2,contig_1167,m,"6,6"
Gd4986,2,contig_1174,h,"7,7"
Gd4986,2,contig_1174,m,"31,9"
Gd4986,2,contig_1200,h,"8,2"
Gd4986,2,contig_1200,m,"21,6"
Gd4986,2,contig_121,h,"8,2"
Gd4986,2,contig_121,m,"32,8"
Gd4986,2,contig_1257,h,"7,6"
Gd4986,2,contig_1257,m,"21,1"
Gd4986,2,contig_1264,h,"9,4"
Gd4986,2,contig_1264,m,"45,8"
Gd4986,2,contig_1280,h,8
Gd4986,2,contig_1280,m,"18,7"
Gd4986,2,contig_1289,h,"7,8"
Gd4986,2,contig_1289,m,"30,5"
Gd4986,2,contig_131,h,8
Gd4986,2,contig_131,m,"20,2"
Gd4986,2,contig_1314,h,7
Gd4986,2,contig_1314,m,"8,2"
Gd4986,2,contig_1334,h,"6,9"
Gd4986,2,contig_1334,m,"7,4"
Gd4986,2,contig_1363,h,"7,8"
Gd4986,2,contig_1363,m,20
Gd4986,2,contig_1387,h,"7,9"
Gd4986,2,contig_1387,m,"9,8"
Gd4986,2,contig_1400,h,"8,1"
Gd4986,2,contig_1400,m,"34,7"
Gd4986,2,contig_1412,h,8
Gd4986,2,contig_1412,m,"27,3"
Gd4986,2,contig_1415,h,"8,3"
Gd4986,2,contig_1415,m,"47,6"
Gd4986,2,contig_1462,h,"7,8"
Gd4986,2,contig_1462,m,"30,8"
Gd4986,2,contig_1467,h,"8,4"
Gd4986,2,contig_1467,m,"38,4"
Gd4986,2,contig_1469,h,8
Gd4986,2,contig_1469,m,"31,6"
Gd4986,2,contig_1495,h,"7,2"
Gd4986,2,contig_1495,m,12
Gd4986,2,contig_164,h,9
Gd4986,2,contig_164,m,"35,7"
Gd4986,2,contig_181,h,8
Gd4986,2,contig_181,m,"14,1"
Gd4986,2,contig_206,h,8
Gd4986,2,contig_206,m,"22,5"
Gd4986,2,contig_308,h,"7,5"
Gd4986,2,contig_308,m,"9,4"
Gd4986,2,contig_312,h,"7,9"
Gd4986,2,contig_312,m,22
Gd4986,2,contig_339,h,"8,2"
Gd4986,2,contig_339,m,"27,2"
Gd4986,2,contig_346,h,"8,4"
Gd4986,2,contig_346,m,"35,9"
Gd4986,2,contig_355,h,"8,4"
Gd4986,2,contig_355,m,"48,6"
Gd4986,2,contig_370,h,"8,6"
Gd4986,2,contig_370,m,"37,1"
Gd4986,2,contig_371,h,7
Gd4986,2,contig_371,m,"7,8"
Gd4986,2,contig_377,h,8
Gd4986,2,contig_377,m,"17,4"
Gd4986,2,contig_394,h,"10,1"
Gd4986,2,contig_394,m,"30,9"
Gd4986,2,contig_397,h,"7,2"
Gd4986,2,contig_397,m,"12,9"
Gd4986,2,contig_414,h,"8,6"
Gd4986,2,contig_414,m,"29,4"
Gd4986,2,contig_430,h,"7,9"
Gd4986,2,contig_430,m,"14,6"
Gd4986,2,contig_46,h,"7,8"
Gd4986,2,contig_46,m,"11,8"
Gd4986,2,contig_466,h,"8,3"
Gd4986,2,contig_466,m,"33,6"
Gd4986,2,contig_473,h,8
Gd4986,2,contig_473,m,"26,3"
Gd4986,2,contig_499,h,"8,1"
Gd4986,2,contig_499,m,"22,7"
Gd4986,2,contig_519,h,"8,5"
Gd4986,2,contig_519,m,"46,9"
Gd4986,2,contig_533,h,"8,7"
Gd4986,2,contig_533,m,"43,5"
Gd4986,2,contig_539,h,9
Gd4986,2,contig_539,m,46
Gd4986,2,contig_564,h,"11,5"
Gd4986,2,contig_564,m,"63,9"
Gd4986,2,contig_565,h,"8,6"
Gd4986,2,contig_565,m,"40,5"
Gd4986,2,contig_57,h,"8,2"
Gd4986,2,contig_57,m,"24,7"
Gd4986,2,contig_577,h,"8,2"
Gd4986,2,contig_577,m,"25,1"
Gd4986,2,contig_590,h,7
Gd4986,2,contig_590,m,"9,8"
Gd4986,2,contig_600,h,"8,1"
Gd4986,2,contig_600,m,"17,1"
Gd4986,2,contig_618,h,"8,2"
Gd4986,2,contig_618,m,"21,8"
Gd4986,2,contig_645,h,"8,6"
Gd4986,2,contig_645,m,"14,8"
Gd4986,2,contig_651,h,8
Gd4986,2,contig_651,m,"18,8"
Gd4986,2,contig_664,h,"8,2"
Gd4986,2,contig_664,m,"23,1"
Gd4986,2,contig_685,h,"8,3"
Gd4986,2,contig_685,m,"27,5"
Gd4986,2,contig_692,h,"9,2"
Gd4986,2,contig_692,m,"65,4"
Gd4986,2,contig_698,h,"7,7"
Gd4986,2,contig_698,m,"13,7"
Gd4986,2,contig_710,h,"9,1"
Gd4986,2,contig_710,m,"52,3"
Gd4986,2,contig_713,h,"8,3"
Gd4986,2,contig_713,m,"31,1"
Gd4986,2,contig_722,h,"8,3"
Gd4986,2,contig_722,m,"26,7"
Gd4986,2,contig_737,h,"8,6"
Gd4986,2,contig_737,m,"27,6"
Gd4986,2,contig_764,h,"7,8"
Gd4986,2,contig_764,m,"10,2"
Gd4986,2,contig_781,h,"7,1"
Gd4986,2,contig_781,m,"9,4"
Gd4986,2,contig_788,h,8
Gd4986,2,contig_788,m,"13,1"
Gd4986,2,contig_798,h,"8,1"
Gd4986,2,contig_798,m,"40,1"
