Isolate,Lineage,Contig,methylation,methylation_percent
Gd708,2,contig_317,h,"5,3"
Gd708,2,contig_317,m,"16,1"
Gd708,2,contig_324,h,"5,5"
Gd708,2,contig_324,m,"15,7"
Gd708,2,contig_337,h,"5,4"
Gd708,2,contig_337,m,"41,2"
Gd708,2,contig_356,h,"5,1"
Gd708,2,contig_356,m,"12,7"
Gd708,2,contig_37,h,"6,5"
Gd708,2,contig_37,m,"57,2"
Gd708,2,contig_372,h,"5,3"
Gd708,2,contig_372,m,"13,4"
Gd708,2,contig_401,h,"5,6"
Gd708,2,contig_401,m,"14,9"
Gd708,2,contig_407,h,"6,4"
Gd708,2,contig_407,m,"30,2"
Gd708,2,contig_409,h,"5,9"
Gd708,2,contig_409,m,33
Gd708,2,contig_413,h,"5,5"
Gd708,2,contig_413,m,"18,2"
Gd708,2,contig_420,h,"5,7"
Gd708,2,contig_420,m,28
Gd708,2,contig_436,h,"5,5"
Gd708,2,contig_436,m,"21,3"
Gd708,2,contig_454,h,"5,3"
Gd708,2,contig_454,m,"17,6"
Gd708,2,contig_48,h,"6,3"
Gd708,2,contig_48,m,"21,6"
Gd708,2,contig_480,h,"5,5"
Gd708,2,contig_480,m,"12,2"
Gd708,2,contig_482,h,"5,4"
Gd708,2,contig_482,m,"24,6"
Gd708,2,contig_516,h,"5,4"
Gd708,2,contig_516,m,"20,2"
Gd708,2,contig_538,h,"5,5"
Gd708,2,contig_538,m,"21,2"
Gd708,2,contig_540,h,"5,7"
Gd708,2,contig_540,m,"37,4"
Gd708,2,contig_559,h,"5,3"
Gd708,2,contig_559,m,"19,2"
Gd708,2,contig_579,h,"5,5"
Gd708,2,contig_579,m,"20,3"
Gd708,2,contig_584,h,"5,3"
Gd708,2,contig_584,m,"21,8"
Gd708,2,contig_61,h,"5,3"
Gd708,2,contig_61,m,"19,1"
Gd708,2,contig_628,h,"5,4"
Gd708,2,contig_628,m,"15,9"
Gd708,2,contig_635,h,"5,6"
Gd708,2,contig_635,m,21
Gd708,2,contig_663,h,6
Gd708,2,contig_663,m,"36,5"
Gd708,2,contig_679,h,"5,3"
Gd708,2,contig_679,m,"19,3"
Gd708,2,contig_709,h,"5,3"
Gd708,2,contig_709,m,"25,8"
Gd708,2,contig_716,h,"5,5"
Gd708,2,contig_716,m,"25,8"
Gd708,2,contig_734,h,"5,1"
Gd708,2,contig_734,m,"25,1"
Gd708,2,contig_741,h,"5,3"
Gd708,2,contig_741,m,"23,8"
Gd708,2,contig_746,h,6
Gd708,2,contig_746,m,"33,8"
Gd708,2,contig_781,h,"5,4"
Gd708,2,contig_781,m,"23,1"
Gd708,2,contig_792,h,"5,5"
Gd708,2,contig_792,m,"17,6"
Gd708,2,contig_802,h,"5,5"
Gd708,2,contig_802,m,"26,1"
Gd708,2,contig_84,h,"5,7"
Gd708,2,contig_84,m,"26,9"
Gd708,2,contig_858,h,"7,6"
Gd708,2,contig_858,m,"56,6"
Gd708,2,contig_860,h,"5,9"
Gd708,2,contig_860,m,"45,8"
Gd708,2,contig_870,h,"5,5"
Gd708,2,contig_870,m,"20,5"
Gd708,2,contig_875,h,"5,5"
Gd708,2,contig_875,m,"23,7"
Gd708,2,contig_888,h,"5,4"
Gd708,2,contig_888,m,"13,2"
Gd708,2,contig_922,h,"5,5"
Gd708,2,contig_922,m,22
Gd708,2,contig_929,h,"5,2"
Gd708,2,contig_929,m,"19,3"
Gd708,2,contig_951,h,"5,3"
Gd708,2,contig_951,m,"16,1"
Gd708,2,contig_983,h,"5,2"
Gd708,2,contig_983,m,"12,3"
Gd708,2,contig_998,h,"5,9"
Gd708,2,contig_998,m,"37,3"
Gd994,1,contig_107,h,8
Gd994,1,contig_107,m,"17,8"
Gd994,1,contig_113,h,"8,1"
Gd994,1,contig_113,m,"37,3"
Gd994,1,contig_121,h,"8,1"
Gd994,1,contig_121,m,"19,7"
Gd994,1,contig_122,h,"8,3"
Gd994,1,contig_122,m,"22,6"
Gd994,1,contig_131,h,"8,2"
Gd994,1,contig_131,m,"16,6"
Gd994,1,contig_137,h,"8,9"
Gd994,1,contig_137,m,"35,7"
Gd994,1,contig_141,h,"8,2"
Gd994,1,contig_141,m,22
Gd994,1,contig_145,h,"8,3"
Gd994,1,contig_145,m,"17,6"
Gd994,1,contig_17,h,"8,1"
Gd994,1,contig_17,m,"18,4"
Gd994,1,contig_172,h,"7,9"
Gd994,1,contig_172,m,"26,7"
Gd994,1,contig_176,h,"8,7"
Gd994,1,contig_176,m,"14,4"
Gd994,1,contig_177,h,"7,9"
Gd994,1,contig_177,m,"18,8"
Gd994,1,contig_192,h,"8,8"
Gd994,1,contig_192,m,"27,6"
Gd994,1,contig_197,h,"8,4"
Gd994,1,contig_197,m,"14,8"
Gd994,1,contig_200,h,"8,1"
Gd994,1,contig_200,m,"18,2"
Gd994,1,contig_218,h,"9,2"
Gd994,1,contig_218,m,"22,6"
Gd994,1,contig_227,h,"7,4"
Gd994,1,contig_227,m,"14,6"
Gd994,1,contig_256,h,"7,9"
Gd994,1,contig_256,m,"33,6"
Gd994,1,contig_38,h,"8,2"
Gd994,1,contig_38,m,"24,8"
Gd994,1,contig_4,h,8
Gd994,1,contig_4,m,"13,4"
Gd994,1,contig_5,h,"8,6"
Gd994,1,contig_5,m,"21,5"
Gd994,1,contig_56,h,"8,4"
Gd994,1,contig_56,m,"14,7"
Gd994,1,contig_59,h,8
Gd994,1,contig_59,m,"11,3"
Gd994,1,contig_6,h,"8,2"
Gd994,1,contig_6,m,"16,2"
Gd994,1,contig_67,h,"8,1"
Gd994,1,contig_67,m,"18,2"
Gd994,1,contig_7,h,"7,8"
Gd994,1,contig_7,m,"12,7"
Gd994,1,contig_8,h,"8,2"
Gd994,1,contig_8,m,"21,8"
Gd994,1,contig_90,h,"7,9"
Gd994,1,contig_90,m,11
Gd994,1,contig_91,h,"8,4"
Gd994,1,contig_91,m,"24,4"
Gd994,1,contig_98,h,"8,2"
Gd994,1,contig_98,m,"16,9"
